step,rate,time,speed,throttle,brake,steer,x,y,yaw,idx,ev,elat,eyaw,sp_x,sp_y,sp_yaw,sp_v,sp_curvature
601,0.019999999999999574,0.019999999999999574,0.0,0.0012499999999999734,0.0,0.0,-184.0900115966797,189.78396606445312,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.019999999999999574,0.03999999999999915,0.0030601380858570337,0.003750000000000031,0.0,0.0,-184.0900115966797,189.78392028808594,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,0.02000000000000135,0.0600000000000005,0.001325481222011149,0.006249999999999978,0.0,0.0,-184.0900115966797,189.78384399414062,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0.019999999999999574,0.08000000000000007,0.00032160207047127187,0.008750000000000036,0.0,0.0,-184.0900115966797,189.78378295898438,-1.5747817473662002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,0.019999999999999574,0.09999999999999964,-0.0003075646818615496,0.01124999999999998,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,0.019999999999999574,0.11999999999999922,-0.0007143444381654263,0.01375000000000004,0.0,0.0,-184.0900115966797,189.78375244140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,0.02000000000000135,0.14000000000000057,-0.0009847423061728477,0.016249999999999987,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,0.019999999999999574,0.16000000000000014,-0.0011641319142654538,0.018750000000000044,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,0.019999999999999574,0.17999999999999972,-0.0012783290585502982,0.02124999999999999,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,0.019999999999999574,0.1999999999999993,-0.0013411295367404819,0.02375000000000005,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.02000000000000135,0.22000000000000064,-0.0013581685489043593,0.02625,0.0,0.0,-184.0900115966797,189.7837677001953,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,0.019999999999999574,0.2400000000000002,-0.0013416350120678544,0.02875000000000005,0.0,0.0,-184.0900115966797,189.78375244140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,0.019999999999999574,0.2599999999999998,-0.001292611937969923,0.03125,0.0,0.0,-184.0900115966797,189.78375244140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,0.019999999999999574,0.27999999999999936,-0.0012105240020900965,0.03374999999999995,0.0,0.0,-184.0900115966797,189.78375244140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,0.02000000000000135,0.3000000000000007,-0.0010940054198727012,0.03625,0.0,0.0,-184.0900115966797,189.78375244140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,0.019999999999999574,0.3200000000000003,-0.0009464166942052543,0.03874999999999995,0.0,0.0,-184.0900115966797,189.78370666503906,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,0.019999999999999574,0.33999999999999986,-0.0007662277785129845,0.041250000000000016,0.0,0.0,-184.0900115966797,189.78369140625,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,0.019999999999999574,0.35999999999999943,-0.0005601938464678824,0.04374999999999996,0.0,0.0,-184.0900115966797,189.7836456298828,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
